OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402541,2021-10-04,,2-6,Restoration,Other,Small,One Month,Marketing - Unpaid,0.25,0.256,0,2.0,0,431.0,40254120211004
402542,2021-10-05,,2-6,Junk Removal,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,2.5,0,430.0,40254220211005
402543,2021-10-15,,0-1,Handyman,Handyman,Starter,One Month,Product,0.7140000000000001,0.7829999999999999,1,0.9,0,420.0,40254320211015
402550,2021-10-04,,0-1,Plumbing,Plumbing,Small,One Month,Marketing - Paid,0.107,0.27,0,3.6,0,431.0,40255020211004
402552,2021-10-04,,2-6,Other,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,1.9,0,431.0,40255220211004
402553,2021-10-04,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Unpaid,0.46399999999999997,0.445,1,2.7,0,431.0,40255320211004
402554,2021-10-04,2021-11-04,0-1,Plumbing,Plumbing,Starter,No Promo,Sales,0.071,0.04,0,1.1,1,31.0,40255420211004
402555,2021-10-04,,2-6,Smart Home,Other,Small,One Month,Sales,0.25,0.297,1,2.9,0,431.0,40255520211004
402558,2021-10-20,,0-1,Plumbing,Plumbing,Starter,One Month,Marketing - Paid,0.5710000000000001,0.47200000000000003,0,1.8,0,415.0,40255820211020
402561,2021-10-04,2021-11-04,0-1,Roof & Attic,Other,Starter,One Month,Sales,0.071,0.04,0,0.9,1,31.0,40256120211004
402574,2021-10-05,2021-12-04,2-6,Demolition,Other,Small,One Month,Marketing - Unpaid,0.28600000000000003,0.135,1,2.4,1,60.0,40257420211005
402575,2021-10-08,,2-6,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Marketing - Unpaid,0.0,0.013000000000000001,0,3.2,0,427.0,40257520211008
402579,2021-10-05,,2-6,Home Cleaning,Home Cleaning,Small,One Month,BD,0.7140000000000001,0.7829999999999999,0,1.9,0,430.0,40257920211005
402600,2021-10-06,,2-6,Window & Exterior Cleaning,Window & Exterior,Small,One Month,Marketing - Unpaid,0.107,0.068,1,2.2,0,429.0,40260020211006
402601,2021-10-05,,0-1,Pool & Spa,Other,Large,Special - One Month,Marketing - Unpaid,0.179,0.534,0,7.4,0,430.0,40260120211005
402609,2021-10-05,2021-11-04,0-1,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.036000000000000004,0.013000000000000001,0,2.4,1,30.0,40260920211005
402610,2021-10-05,,0-1,Flooring,Other,Starter,One Month,Sales,0.0,0.013000000000000001,0,0.9,0,430.0,40261020211005
402614,2021-10-05,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,3.0,0,430.0,40261420211005
402615,2021-10-19,2021-11-18,2-6,Flooring,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,2.2,1,30.0,40261520211019
402619,2021-10-05,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.9640000000000001,0.958,1,3.1,0,430.0,40261920211005
402623,2021-10-05,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Paid,0.179,0.095,0,2.7,0,430.0,40262320211005
402628,2021-10-05,,11+,Heating & Air Conditioning,Heating & Air Conditioning,Extra large,2+ month,Marketing - Paid,0.929,0.958,1,17.4,0,430.0,40262820211005
402632,2021-10-05,,2-6,Locksmith,Other,Starter,One Month,Sales,0.0,0.013000000000000001,0,1.0,0,430.0,40263220211005
402634,2021-10-05,2021-10-19,7-10,Landscaping & Lawn,Landscaping & Lawn,Extra large,No Promo,Sales,0.35700000000000004,0.15,1,8.8,1,14.0,40263420211005
402635,2021-10-12,,0-1,Automotive,Other,Starter,One Month,Marketing - Paid,0.179,0.15,0,0.9,0,423.0,40263520211012
402636,2021-10-05,,0-1,Window & Exterior Cleaning,Window & Exterior,Starter,One Month,Marketing - Unpaid,0.0,0.013000000000000001,0,0.8,0,430.0,40263620211005
402644,2021-10-05,,0-1,Concrete & Asphalt,Other,Starter,One Month,Sales,0.0,0.013000000000000001,0,0.8,0,430.0,40264420211005
402645,2021-10-06,2021-12-05,0-1,Handyman,Handyman,Starter,One Month,Marketing - Paid,0.0,0.013000000000000001,0,0.8,1,60.0,40264520211006
402648,2021-10-05,,0-1,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.429,0.191,0,2.7,0,430.0,40264820211005
402656,2021-10-08,,2-6,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Sales,0.25,0.191,0,1.6,0,427.0,40265620211008
402658,2021-10-05,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Large,2+ month,BD,1.0,1.0,1,8.6,0,430.0,40265820211005
402659,2021-10-08,,0-1,Plumbing,Plumbing,Large,2+ month,Marketing - Paid,0.14300000000000002,0.26,0,6.5,0,427.0,40265920211008
402660,2021-10-05,,2-6,Flooring,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,2.2,0,430.0,40266020211005
